Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
17,2026-07-01 01:35:00,2026-07-01 09:08:00,278.28,278.14,25.7,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
18,2026-07-01 10:10:00,2026-07-01 17:36:00,278.50,278.19,25.5,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
19,2026-07-01 18:41:00,2026-07-02 02:12:00,278.36,277.99,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
20,2026-07-02 03:12:00,2026-07-02 10:45:00,278.31,278.03,24.8,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
21,2026-07-02 11:47:00,2026-07-02 19:14:00,278.34,278.01,24.2,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
22,2026-07-02 20:17:00,2026-07-03 03:47:00,278.28,277.87,25.3,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
23,2026-07-03 04:55:00,2026-07-03 12:21:00,278.09,277.81,25.2,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
24,2026-07-03 13:27:00,2026-07-03 20:51:00,278.16,277.81,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
25,2026-07-03 21:57:00,2026-07-04 05:31:00,277.87,277.66,25.7,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
26,2026-07-04 06:35:00,2026-07-04 14:03:00,278.07,277.69,25.2,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
27,2026-07-04 15:05:00,2026-07-04 22:38:00,277.82,277.55,25.0,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
28,2026-07-04 23:48:00,2026-07-05 07:19:00,277.88,277.52,25.1,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
29,2026-07-05 08:20:00,2026-07-05 15:49:00,277.77,277.45,24.6,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
30,2026-07-05 16:52:00,2026-07-06 00:22:00,277.72,277.45,25.3,LFP280-B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-07
31,2026-07-27 01:30:00,2026-07-27 08:58:00,275.77,275.59,25.3,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
32,2026-07-27 10:07:00,2026-07-27 17:33:00,275.68,275.51,25.2,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
33,2026-07-27 18:29:00,2026-07-28 01:59:00,275.96,275.58,25.5,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
34,2026-07-28 03:05:00,2026-07-28 10:38:00,275.68,275.43,25.3,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
35,2026-07-28 11:34:00,2026-07-28 19:00:00,275.64,275.48,24.7,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
36,2026-07-28 19:57:00,2026-07-29 03:31:00,275.60,275.29,25.3,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
37,2026-07-29 04:26:00,2026-07-29 12:00:00,275.63,275.27,24.7,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
38,2026-07-29 13:10:00,2026-07-29 20:37:00,275.55,275.16,25.4,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
39,2026-07-29 21:38:00,2026-07-30 05:13:00,275.55,275.20,25.2,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
40,2026-07-30 06:12:00,2026-07-30 13:36:00,275.31,275.09,24.3,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
41,2026-07-30 14:32:00,2026-07-30 22:06:00,275.37,275.07,24.8,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
42,2026-07-30 23:07:00,2026-07-31 06:40:00,275.41,275.06,25.3,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
43,2026-07-31 07:48:00,2026-07-31 15:14:00,275.29,274.94,24.9,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
44,2026-07-31 16:14:00,2026-07-31 23:41:00,275.09,274.83,25.4,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
45,2026-08-01 00:45:00,2026-08-01 08:17:00,274.97,274.81,25.2,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
46,2026-08-01 09:22:00,2026-08-01 16:56:00,275.09,274.80,25.1,B1,LFP-280,0.33C,0.33C,3.65,2.50,CH-02
