Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
17,2026年6月8日 2:19,2026年6月8日 9:52,271091.0,270933.2,24.6,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
18,2026年6月8日 10:51,2026年6月8日 18:19,271168.6,270889.1,25.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
19,2026年6月8日 19:15,2026年6月9日 2:39,270970.4,270825.0,25.3,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
20,2026年6月9日 3:34,2026年6月9日 11:05,271176.8,270812.3,25.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
21,2026年6月9日 12:13,2026年6月9日 19:37,270955.3,270679.8,25.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
22,2026年6月9日 20:38,2026年6月10日 4:11,270857.0,270683.8,24.9,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
23,2026年6月10日 5:09,2026年6月10日 12:40,270972.9,270600.3,24.8,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
24,2026年6月10日 13:50,2026年6月10日 21:21,270968.6,270589.1,25.6,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
25,2026年6月10日 22:30,2026年6月11日 6:05,270680.6,270458.3,24.9,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
26,2026年6月11日 7:01,2026年6月11日 14:32,270673.8,270434.6,24.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
27,2026年6月11日 15:42,2026年6月11日 23:18,270802.4,270439.9,25.6,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
28,2026年6月12日 0:16,2026年6月12日 7:48,270768.8,270417.1,25.0,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
29,2026年6月12日 8:45,2026年6月12日 16:15,270469.6,270328.9,25.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
30,2026年6月12日 17:14,2026年6月13日 0:44,270415.0,270231.9,25.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
31,2026年6月13日 1:40,2026年6月13日 9:11,270389.1,270148.9,24.8,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
32,2026年6月13日 10:06,2026年6月13日 17:30,270397.6,270063.2,25.6,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
33,2026年6月13日 18:37,2026年6月14日 2:09,270355.6,270144.7,25.0,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
34,2026年6月14日 3:12,2026年6月14日 10:47,270243.9,269926.4,25.1,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
35,2026年6月14日 11:47,2026年6月14日 19:15,270257.3,269960.5,25.7,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
36,2026年6月14日 20:20,2026年6月15日 3:46,270231.5,269992.2,24.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
37,2026年6月15日 4:45,2026年6月15日 12:13,270052.3,269799.4,25.0,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
38,2026年6月15日 13:12,2026年6月15日 20:42,270157.7,269878.5,25.4,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
39,2026年6月15日 21:48,2026年6月16日 5:24,269958.4,269684.0,25.1,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
40,2026年6月16日 6:24,2026年6月16日 13:48,269810.5,269658.9,25.0,LFP280-A3,LFP-280,0.33C,0.33C,3.60,2.50,CH-03
