Cycle,Start Time,End Time,Chg_Cap,DChg_Cap,Avg_Temp,Cell_ID,Model,Chg_Rate,DChg_Rate,V_upper,V_lower,Channel
29,2026-05-23 16:02:00,2026-05-23 19:35:00,273.87,273.64,29.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
30,2026-05-23 20:34:00,2026-05-24 00:01:00,273.58,273.37,28.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
31,2026-05-24 00:57:00,2026-05-24 04:30:00,273.38,273.21,27.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
32,2026-05-24 05:32:00,2026-05-24 09:05:00,273.43,273.22,28.5,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
33,2026-05-24 10:01:00,2026-05-24 13:30:00,273.18,272.98,27.7,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
34,2026-05-24 14:32:00,2026-05-24 18:00:00,273.18,272.95,28.7,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
35,2026-05-24 18:56:00,2026-05-24 22:26:00,272.89,272.65,28.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
36,2026-05-24 23:31:00,2026-05-25 03:04:00,272.70,272.50,28.2,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
37,2026-05-25 04:05:00,2026-05-25 07:31:00,272.71,272.40,29.3,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
38,2026-05-25 08:34:00,2026-05-25 11:58:00,272.71,272.35,27.8,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
39,2026-05-25 13:07:00,2026-05-25 16:39:00,272.55,272.26,27.9,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
40,2026-05-25 17:49:00,2026-05-25 21:18:00,272.37,272.11,29.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
41,2026-05-25 22:21:00,2026-05-26 01:56:00,272.30,271.91,28.7,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
42,2026-05-26 02:56:00,2026-05-26 06:26:00,271.95,271.75,28.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
43,2026-05-26 07:28:00,2026-05-26 10:55:00,271.86,271.61,26.0,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
44,2026-05-26 11:51:00,2026-05-26 15:27:00,271.66,271.44,28.3,LFP280_A2,LFP-280,1.0C,1.0C,3.65,2.50,CH-03
